,0,1,2,3,4,5,6,7,8,9
857,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
858,Star Wars (1977),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
859,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
860,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
861,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
862,"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),Back to the Future (1985),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997)
863,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
864,Air Force One (1997),Titanic (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Blade Runner (1982),2001: A Space Odyssey (1968),"Saint, The (1997)",Psycho (1960),Trainspotting (1996),Chasing Amy (1997)
865,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
866,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
867,Fargo (1996),"Godfather, The (1972)",Scream (1996),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Princess Bride, The (1987)","Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971)
868,Contact (1997),"English Patient, The (1996)",Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Fugitive, The (1993)",Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997)
869,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
870,Air Force One (1997),Liar Liar (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Princess Bride, The (1987)",Star Trek: First Contact (1996),"Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),Alien (1979)
871,Fargo (1996),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Liar Liar (1997),Twelve Monkeys (1995),"Rock, The (1996)",Back to the Future (1985),Star Trek: First Contact (1996),Schindler's List (1993)
872,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
873,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
874,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
875,Fargo (1996),"Godfather, The (1972)",Toy Story (1995),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)",Back to the Future (1985)
876,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
877,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
878,Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)","Fugitive, The (1993)"
879,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
880,"English Patient, The (1996)",Titanic (1997),Alien (1979),Dead Man Walking (1995),Blade Runner (1982),When Harry Met Sally... (1989),Mr. Holland's Opus (1995),Casablanca (1942),Sense and Sensibility (1995),2001: A Space Odyssey (1968)
881,Contact (1997),Scream (1996),Air Force One (1997),Titanic (1997),Jerry Maguire (1996),"Princess Bride, The (1987)",Schindler's List (1993),Indiana Jones and the Last Crusade (1989),"Full Monty, The (1997)",L.A. Confidential (1997)
882,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Titanic (1997),Schindler's List (1993),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),Braveheart (1995)
883,Return of the Jedi (1983),Contact (1997),Scream (1996),Air Force One (1997),Liar Liar (1997),Independence Day (ID4) (1996),"Rock, The (1996)",E.T. the Extra-Terrestrial (1982),Amadeus (1984),One Flew Over the Cuckoo's Nest (1975)
884,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
885,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Star Trek: First Contact (1996),Monty Python and the Holy Grail (1974)
886,Contact (1997),"English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Indiana Jones and the Last Crusade (1989),"Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971)
887,Raiders of the Lost Ark (1981),"English Patient, The (1996)",Air Force One (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)","Shawshank Redemption, The (1994)","Full Monty, The (1997)"
888,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
889,"English Patient, The (1996)",Scream (1996),Titanic (1997),Star Trek: First Contact (1996),Aliens (1986),Mr. Holland's Opus (1995),Sense and Sensibility (1995),Conspiracy Theory (1997),"Birdcage, The (1996)",Raising Arizona (1987)
890,Fargo (1996),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),"Rock, The (1996)","Fugitive, The (1993)",Star Trek: First Contact (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)"
891,Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
892,Contact (1997),"English Patient, The (1996)",Liar Liar (1997),Titanic (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Dead Man Walking (1995),Men in Black (1997),Sense and Sensibility (1995),Jaws (1975)
893,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)"
894,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985)
895,Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
896,"English Patient, The (1996)",Pulp Fiction (1994),Liar Liar (1997),"Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),One Flew Over the Cuckoo's Nest (1975),Leaving Las Vegas (1995),"Saint, The (1997)","Graduate, The (1967)",Psycho (1960)
897,Fargo (1996),Contact (1997),"English Patient, The (1996)",Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)","Full Monty, The (1997)"
898,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
899,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Indiana Jones and the Last Crusade (1989)
900,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
901,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),"Fugitive, The (1993)"
902,Fargo (1996),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
903,Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Princess Bride, The (1987)"
904,Star Wars (1977),Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
905,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
906,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
907,Raiders of the Lost Ark (1981),"Godfather, The (1972)",Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),Back to the Future (1985),Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)"
908,Contact (1997),"English Patient, The (1996)",Toy Story (1995),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)",Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989)
909,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
910,Contact (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),"Fugitive, The (1993)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)"
911,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997)
912,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997)
913,"English Patient, The (1996)",Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Mission: Impossible (1996),Men in Black (1997),Sense and Sensibility (1995),2001: A Space Odyssey (1968),Conspiracy Theory (1997)
914,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
915,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
916,Contact (1997),"Godfather, The (1972)",Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Amadeus (1984),One Flew Over the Cuckoo's Nest (1975)
917,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
918,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
919,"Godfather, The (1972)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),"Fugitive, The (1993)","Princess Bride, The (1987)",Indiana Jones and the Last Crusade (1989),"Full Monty, The (1997)","Terminator, The (1984)",Terminator 2: Judgment Day (1991)
920,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
921,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),"Rock, The (1996)",Back to the Future (1985)
922,Fargo (1996),"English Patient, The (1996)",Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)","Fugitive, The (1993)",Schindler's List (1993),"Shawshank Redemption, The (1994)"
923,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Fugitive, The (1993)"
924,"Silence of the Lambs, The (1991)",Liar Liar (1997),"Fugitive, The (1993)",Back to the Future (1985),Star Trek: First Contact (1996),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),Forrest Gump (1994),"Full Monty, The (1997)",L.A. Confidential (1997)
925,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)"
926,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
927,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)","Empire Strikes Back, The (1980)",Titanic (1997),"Rock, The (1996)"
928,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997)
929,Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
930,Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),"Fugitive, The (1993)"
931,Raiders of the Lost Ark (1981),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),"Rock, The (1996)","Fugitive, The (1993)"
